run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
21,101.0,2534.1277,25.9195,0.3,2478.55255,31.278000000000002,-0.42,2536.71965,25.9495,0.25,2481.68035,31.2365,-0.47,50.57515000000012,5.358500000000003,88,3
21,101.1,2536.71965,25.9495,0.25,2481.68035,31.2365,-0.47,2539.3146,25.9745,0.25,2484.804,31.1895,-0.46,50.03929999999991,5.286999999999999,88,3
21,101.2,2539.3146,25.9745,0.25,2484.804,31.1895,-0.46,2541.91205,25.9995,0.3,2487.92295,31.1435,-0.46,49.51060000000007,5.215,88,3
21,101.3,2541.91205,25.9995,0.3,2487.92295,31.1435,-0.46,2544.512,26.029,0.3,2491.0373,31.096999999999998,-0.47,48.98909999999978,5.143999999999998,88,3
21,101.4,2544.512,26.029,0.3,2491.0373,31.096999999999998,-0.47,2547.1149,26.059,0.3,2494.147,31.05,-0.51,48.47470000000021,5.067999999999998,88,3
21,101.5,2547.1149,26.059,0.3,2494.147,31.05,-0.51,2549.7208,26.089000000000002,0.3,2497.252,30.999000000000002,-0.56,47.9679000000001,4.991,88,3
21,101.6,2549.7208,26.089000000000002,0.3,2497.252,30.999000000000002,-0.56,2552.3297,26.119,0.25,2500.3519,30.9425,-0.56,47.4688000000001,4.91,88,3
21,101.7,2552.3297,26.119,0.25,2500.3519,30.9425,-0.56,2554.9416,26.144000000000002,0.25,2503.44615,30.8865,-0.56,46.97779999999966,4.823499999999999,88,3
21,101.8,2554.9416,26.144000000000002,0.25,2503.44615,30.8865,-0.56,2557.556,26.169,0.3,2506.5348,30.8305,-0.61,46.49544999999989,4.7425,88,3
21,101.9,2557.556,26.169,0.3,2506.5348,30.8305,-0.61,2560.1729,26.199,0.25,2509.61785,30.769000000000002,-0.61,46.021200000000135,4.6615,88,3
21,102.0,2560.1729,26.199,0.25,2509.61785,30.769000000000002,-0.61,2562.7928,26.224,0.25,2512.69475,30.708000000000002,-0.61,45.55504999999994,4.57,88,3
21,102.1,2562.7928,26.224,0.25,2512.69475,30.708000000000002,-0.61,2565.4152,26.249000000000002,0.3,2515.76555,30.647,-0.66,45.09805000000006,4.484000000000002,88,3
21,102.2,2565.4152,26.249000000000002,0.3,2515.76555,30.647,-0.66,2568.0401,26.279,0.3,2518.83025,30.581,-0.66,44.64964999999984,4.397999999999996,88,3
21,102.3,2568.0401,26.279,0.3,2518.83025,30.581,-0.66,2570.6679999999997,26.309,0.3,2521.88835,30.515,-0.61,44.20985000000019,4.302,88,3
21,102.4,2570.6679999999997,26.309,0.3,2521.88835,30.515,-0.61,2573.2989,26.339000000000002,0.3,2524.93985,30.454,-0.6,43.77964999999949,4.2059999999999995,88,3
21,102.5,2573.2989,26.339000000000002,0.3,2524.93985,30.454,-0.6,2575.9328,26.369,0.3,2527.98525,30.394000000000002,-0.6,43.35904999999957,4.114999999999998,88,3
21,102.6,2575.9328,26.369,0.3,2527.98525,30.394000000000002,-0.6,2578.5697,26.399,0.31,2531.02465,30.3335,-0.61,42.947549999999865,4.025000000000002,88,3
21,102.7,2578.5697,26.399,0.31,2531.02465,30.3335,-0.61,2581.2096,26.4295,0.3,2534.058,30.273000000000003,-0.6,42.545050000000174,3.9345,88,3
21,102.8,2581.2096,26.4295,0.3,2534.058,30.273000000000003,-0.6,2583.85255,26.4595,0.3,2537.0853,30.2125,-0.66,42.151600000000144,3.8435000000000024,88,3
21,102.9,2583.85255,26.4595,0.3,2537.0853,30.2125,-0.66,2586.4985,26.4895,0.3,2540.10655,30.1465,-0.65,41.767249999999876,3.753,88,3
21,103.0,2586.4985,26.4895,0.3,2540.10655,30.1465,-0.65,2589.14745,26.52,0.3,2543.1212,30.0815,-0.55,41.39195000000018,3.657,88,3
21,103.1,2589.14745,26.52,0.3,2543.1212,30.0815,-0.55,2591.79945,26.55,0.35,2546.12935,30.0265,-0.55,41.02624999999989,3.5614999999999988,88,3
21,103.2,2591.79945,26.55,0.35,2546.12935,30.0265,-0.55,2594.45445,26.585,0.35,2549.132,29.9715,-0.6,40.67009999999982,3.476499999999998,88,3
21,103.3,2594.45445,26.585,0.35,2549.132,29.9715,-0.6,2597.11295,26.62,0.36,2552.12915,29.9115,-0.6,40.32245000000012,3.386499999999998,88,3
21,103.4,2597.11295,26.62,0.36,2552.12915,29.9115,-0.6,2599.77495,26.656,0.4,2555.1203,29.851,-0.55,39.983799999999974,3.291499999999999,88,3
21,103.5,2599.77495,26.656,0.4,2555.1203,29.851,-0.55,2602.44055,26.695999999999998,0.35,2558.1054,29.7965,-0.55,39.65464999999995,3.1950000000000003,88,3
21,103.6,2602.44055,26.695999999999998,0.35,2558.1054,29.7965,-0.55,2605.11015,26.730999999999998,0.36,2561.08505,29.7415,-0.55,39.335149999999885,3.100500000000004,88,3
21,103.7,2605.11015,26.730999999999998,0.36,2561.08505,29.7415,-0.55,2607.78325,26.767,0.4,2564.0592,29.686999999999998,-0.5,39.02509999999984,3.0105000000000004,88,3
