run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
7,132.2,3450.57695,39.262,-0.25,3361.46,26.259,1.53,3454.50315,39.236999999999995,-0.14,3364.0859,26.4115,2.13,84.11695000000009,-13.003,84,79
7,132.3,3454.50315,39.236999999999995,-0.14,3364.0859,26.4115,2.13,3458.42685,39.2225,-0.05,3366.72705,26.625,2.44,85.41724999999997,-12.825499999999995,84,79
7,132.4,3458.42685,39.2225,-0.05,3366.72705,26.625,2.44,3462.3491,39.218,0.26,3369.38955,26.869,2.75,86.69979999999987,-12.597499999999997,84,79
7,132.5,3462.3491,39.218,0.26,3369.38955,26.869,2.75,3466.2709,39.2445,0.36,3372.07645,27.144000000000002,3.04,87.95955000000004,-12.349000000000004,84,79
7,132.6,3466.2709,39.2445,0.36,3372.07645,27.144000000000002,3.04,3470.19535,39.2805,0.57,3374.79085,27.4485,3.24,89.19444999999996,-12.1005,84,79
7,132.7,3470.19535,39.2805,0.57,3374.79085,27.4485,3.24,3474.1234,39.3375,0.66,3377.5357,27.772,3.43,90.4045000000001,-11.832000000000004,84,79
7,132.8,3474.1234,39.3375,0.66,3377.5357,27.772,3.43,3478.05715,39.404,0.77,3380.3129,28.1155,3.42,91.58770000000004,-11.5655,84,79
7,132.9,3478.05715,39.404,0.77,3380.3129,28.1155,3.42,3481.99755,39.4805,0.86,3383.12445,28.456999999999997,3.5,92.74425000000019,-11.288500000000003,84,79
7,133.0,3481.99755,39.4805,0.86,3383.12445,28.456999999999997,3.5,3485.9456,39.5665,0.96,3385.97015,28.8075,3.29,93.87310000000025,-11.023500000000002,84,79
7,133.1,3485.9456,39.5665,0.96,3385.97015,28.8075,3.29,3489.90225,39.6625,0.85,3388.8509,29.1365,3.38,94.97544999999991,-10.758999999999997,84,79
7,133.2,3489.90225,39.6625,0.85,3388.8509,29.1365,3.38,3493.8685,39.7475,0.84,3391.76455,29.474,3.05,96.05135000000018,-10.526,84,79
7,133.3,3493.8685,39.7475,0.84,3391.76455,29.474,3.05,3497.84325,39.8315,0.73,3394.71195,29.7795,3.04,97.10395000000017,-10.273500000000002,84,79
7,133.4,3497.84325,39.8315,0.73,3394.71195,29.7795,3.04,3501.8264,39.9045,0.62,3397.6899,30.0835,2.82,98.13130000000001,-10.052,84,79
7,133.5,3501.8264,39.9045,0.62,3397.6899,30.0835,2.82,3505.81685,39.9665,0.61,3400.69825,30.366,2.61,99.13650000000007,-9.820999999999998,84,79
7,133.6,3505.81685,39.9665,0.61,3400.69825,30.366,2.61,3509.8135,40.0275,0.31,3403.73485,30.627,2.5,100.11860000000024,-9.600500000000004,84,79
7,133.7,3509.8135,40.0275,0.31,3403.73485,30.627,2.5,3513.81625,40.058,0.29,3406.79755,30.877,2.3,101.07865000000038,-9.400500000000005,84,79
7,133.8,3513.81625,40.058,0.29,3406.79755,30.877,2.3,3517.82205,40.0875,0.08,3409.88525,31.1065,2.29,102.01870000000008,-9.181000000000001,84,79
7,133.9,3517.82205,40.0875,0.08,3409.88525,31.1065,2.29,3521.8308,40.096,0.08,3412.9959,31.3355,2.19,102.9368000000004,-8.980999999999998,84,79
7,134.0,3521.8308,40.096,0.08,3412.9959,31.3355,2.19,3525.8404,40.104,-0.12,3416.12945,31.554000000000002,2.18,103.83490000000029,-8.760499999999997,84,79
7,134.1,3525.8404,40.104,-0.12,3416.12945,31.554000000000002,2.18,3529.8508,40.092,-0.22,3419.28485,31.772,2.29,104.71095000000014,-8.549999999999997,84,79
7,134.2,3529.8508,40.092,-0.22,3419.28485,31.772,2.29,3533.86,40.0695,-0.23,3422.46205,32.0005,2.49,105.56595000000016,-8.32,84,79
7,134.3,3533.86,40.0695,-0.23,3422.46205,32.0005,2.49,3537.86695,40.047,-0.33,3425.6621,32.25,2.81,106.39795000000004,-8.068999999999996,84,79
7,134.4,3537.86695,40.047,-0.33,3425.6621,32.25,2.81,3541.87165,40.014,-0.32,3428.8871,32.531,3.23,107.20485000000008,-7.796999999999997,84,79
7,134.5,3541.87165,40.014,-0.32,3428.8871,32.531,3.23,3545.87305,39.982,-0.33,3432.1402,32.8535,3.54,107.98455000000013,-7.483000000000004,84,79
7,134.6,3545.87305,39.982,-0.33,3432.1402,32.8535,3.54,3549.87125,39.9495,-0.42,3435.42555,33.208,3.85,108.73285000000033,-7.1285000000000025,84,79
7,134.7,3549.87125,39.9495,-0.42,3435.42555,33.208,3.85,3553.8662,39.9075,-0.42,3438.74635,33.593,3.95,109.44570000000022,-6.741500000000002,84,79
7,134.8,3553.8662,39.9075,-0.42,3438.74635,33.593,3.95,3557.85695,39.8655,-0.32,3442.10565,33.9885,3.95,110.11985000000004,-6.314499999999995,84,79
7,134.9,3557.85695,39.8655,-0.32,3442.10565,33.9885,3.95,3561.8435,39.8335,-0.41,3445.5045,34.3835,3.84,110.7512999999999,-5.876999999999995,84,79
7,135.0,3561.8435,39.8335,-0.41,3445.5045,34.3835,3.84,3565.82685,39.792,-0.31,3448.94285,34.766999999999996,3.61,111.33899999999994,-5.450000000000003,84,79
7,135.1,3565.82685,39.792,-0.31,3448.94285,34.766999999999996,3.61,3569.80605,39.760999999999996,-0.41,3452.41955,35.1285,3.3,111.88400000000001,-5.025000000000006,84,79
7,135.2,3569.80605,39.760999999999996,-0.41,3452.41955,35.1285,3.3,3573.78215,39.72,-0.31,3455.9324,35.458,2.87,112.38650000000007,-4.632499999999993,84,79
7,135.3,3573.78215,39.72,-0.31,3455.9324,35.458,2.87,3577.75415,39.689,-0.3,3459.4782,35.745,2.45,112.84974999999986,-4.2620000000000005,84,79
7,135.4,3577.75415,39.689,-0.3,3459.4782,35.745,2.45,3581.72305,39.6585,-0.3,3463.0527,35.99,1.93,113.2759500000002,-3.9440000000000026,84,79
7,135.5,3581.72305,39.6585,-0.3,3463.0527,35.99,1.93,3585.6889,39.6285,-0.21,3466.6517,36.183,1.5,113.67034999999987,-3.6684999999999945,84,79
7,135.6,3585.6889,39.6285,-0.21,3466.6517,36.183,1.5,3589.65175,39.608000000000004,-0.3,3470.27,36.3335,0.99,114.03720000000021,-3.4455000000000027,84,79
7,135.7,3589.65175,39.608000000000004,-0.3,3470.27,36.3335,0.99,3593.61255,39.578,-0.2,3473.90335,36.4325,0.58,114.38175000000001,-3.2745000000000033,84,79
7,135.8,3593.61255,39.578,-0.2,3473.90335,36.4325,0.58,3597.57035,39.558,-0.3,3477.5466,36.4905,0.16,114.70919999999978,-3.1455000000000055,84,79
