run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
3,2.5,64.7303,29.1025,2.94,50.27,24.1795,1.41,67.64055,29.3965,3.04,52.68795,24.3205,1.82,9.460299999999997,-4.922999999999998,71,66
3,2.6,67.64055,29.3965,3.04,52.68795,24.3205,1.82,70.5802,29.7005,3.04,55.12,24.5025,2.23,9.952600000000004,-5.0760000000000005,71,66
3,2.7,70.5802,29.7005,3.04,55.12,24.5025,2.23,73.55025,30.0045,2.92,57.57025,24.7255,2.53,10.460200000000007,-5.198,71,66
3,2.8,73.55025,30.0045,2.92,57.57025,24.7255,2.53,76.5507,30.296999999999997,2.71,60.0428,24.9785,2.73,10.980000000000004,-5.279,71,66
3,2.9,76.5507,30.296999999999997,2.71,60.0428,24.9785,2.73,79.5804,30.568,2.39,62.54065,25.2515,2.93,11.507900000000006,-5.318499999999997,71,66
3,3.0,79.5804,30.568,2.39,62.54065,25.2515,2.93,82.6372,30.8075,2.07,65.0658,25.544,3.02,12.039749999999998,-5.316500000000001,71,66
3,3.1,82.6372,30.8075,2.07,65.0658,25.544,3.02,85.71795,31.0145,1.65,67.6202,25.8455,3.0,12.571400000000011,-5.2635000000000005,71,66
3,3.2,85.71795,31.0145,1.65,67.6202,25.8455,3.0,88.8194,31.1795,1.24,70.20475,26.1455,2.99,13.097750000000005,-5.1690000000000005,71,66
3,3.3,88.8194,31.1795,1.24,70.20475,26.1455,2.99,91.93735,31.303,0.81,72.8193,26.4445,2.98,13.614649999999997,-5.0340000000000025,71,66
3,3.4,91.93735,31.303,0.81,72.8193,26.4445,2.98,95.06765,31.3845,0.4,75.46375,26.741999999999997,2.76,14.118049999999997,-4.858499999999999,71,66
3,3.5,95.06765,31.3845,0.4,75.46375,26.741999999999997,2.76,98.2061,31.4245,-0.01,78.13795,27.018,2.65,14.603899999999996,-4.642500000000002,71,66
3,3.6,98.2061,31.4245,-0.01,78.13795,27.018,2.65,101.34855,31.423000000000002,-0.32,80.83975,27.2825,2.52,15.068150000000003,-4.406499999999998,71,66
3,3.7,101.34855,31.423000000000002,-0.32,80.83975,27.2825,2.52,104.49085,31.391,-0.72,83.568,27.535,2.31,15.508800000000008,-4.140500000000003,71,66
3,3.8,104.49085,31.391,-0.72,83.568,27.535,2.31,107.62995,31.31900000000001,-0.82,86.3215,27.7665,2.21,15.922849999999997,-3.855999999999998,71,66
3,3.9,107.62995,31.31900000000001,-0.82,86.3215,27.7665,2.21,110.76185,31.237,-1.12,89.09815,27.987,1.99,16.308449999999993,-3.552500000000009,71,66
3,4.0,110.76185,31.237,-1.12,89.09815,27.987,1.99,113.88555,31.125,-1.1,91.89685,28.1865,1.89,16.66369999999999,-3.25,71,66
3,4.1,113.88555,31.125,-1.1,91.89685,28.1865,1.89,116.99805,31.0145,-1.2,94.7155,28.375,1.78,16.988699999999994,-2.9385000000000012,71,66
3,4.2,116.99805,31.0145,-1.2,94.7155,28.375,1.78,120.0995,30.8945,-1.18,97.553,28.5535,1.68,17.28255,-2.6395000000000017,71,66
3,4.3,120.0995,30.8945,-1.18,97.553,28.5535,1.68,123.18895,30.776,-1.07,100.40835,28.721,1.68,17.54650000000001,-2.341000000000001,71,66
3,4.4,123.18895,30.776,-1.07,100.40835,28.721,1.68,126.26655,30.669,-0.96,103.28045,28.889,1.78,17.780600000000007,-2.0549999999999997,71,66
3,4.5,126.26655,30.669,-0.96,103.28045,28.889,1.78,129.33345,30.573,-0.94,106.16935,29.0675,1.99,17.986099999999993,-1.7800000000000011,71,66
3,4.6,129.33345,30.573,-0.94,106.16935,29.0675,1.99,132.39075,30.479,-0.73,109.0761,29.266,2.2,18.164100000000005,-1.5055000000000014,71,66
3,4.7,132.39075,30.479,-0.73,109.0761,29.266,2.2,135.43865,30.406,-0.51,112.0027,29.4865,2.52,18.31465,-1.213000000000001,71,66
3,4.8,135.43865,30.406,-0.51,112.0027,29.4865,2.52,138.47925,30.3545,-0.41,114.95135,29.738000000000003,2.93,18.43594999999999,-0.9194999999999993,71,66
