run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
1,144.2,4145.45905,27.8665,0,4057.42215,34.0505,0.3,4148.2457,27.8665,-0.1,4060.8272,34.0805,0.2,83.0369,6.184,77,6
1,144.3,4148.2457,27.8665,-0.1,4060.8272,34.0805,0.2,4151.03235,27.8565,-0.1,4064.23525,34.101,0.3,82.4185,6.214,77,6
1,144.4,4151.03235,27.8565,-0.1,4064.23525,34.101,0.3,4153.818,27.8465,0,4067.64535,34.131,0.3,81.7971,6.2445,77,6
1,144.5,4153.818,27.8465,0,4067.64535,34.131,0.3,4156.60265,27.8465,-0.1,4071.05845,34.1615,0.2,81.17265,6.2845,77,6
1,144.6,4156.60265,27.8465,-0.1,4071.05845,34.1615,0.2,4159.3873,27.8365,-0.1,4074.4746,34.182,0.3,80.5442,6.315,77,6
1,144.7,4159.3873,27.8365,-0.1,4074.4746,34.182,0.3,4162.17095,27.8265,-0.1,4077.8928,34.212,0.3,79.9127,6.3455,77,6
1,144.8,4162.17095,27.8265,-0.1,4077.8928,34.212,0.3,4164.9536,27.8165,0,4081.314,34.242,0.21,79.27815,6.3855,77,6
1,144.9,4164.9536,27.8165,0,4081.314,34.242,0.21,4167.73525,27.8165,-0.1,4084.7382,34.2625,0.3,78.6396,6.4255,77,6
1,145,4167.73525,27.8165,-0.1,4084.7382,34.2625,0.3,4170.5169,27.8065,0,4088.16445,34.2925,0.2,77.99705,6.446,77,6
1,145.1,4170.5169,27.8065,0,4088.16445,34.2925,0.2,4173.29755,27.807,-0.1,4091.5937,34.3125,0.3,77.35245,6.486,77,6
1,145.2,4173.29755,27.807,-0.1,4091.5937,34.3125,0.3,4176.07825,27.797,0,4095.02495,34.3425,0.2,76.70385,6.5055,77,6
1,145.3,4176.07825,27.797,0,4095.02495,34.3425,0.2,4178.85795,27.797,0,4098.4592,34.3625,0.3,76.0533,6.5455,77,6
1,145.4,4178.85795,27.797,0,4098.4592,34.3625,0.3,4181.63765,27.7975,0,4101.89545,34.392,0.2,75.39875,6.5655,77,6
1,145.5,4181.63765,27.7975,0,4101.89545,34.392,0.2,4184.4174,27.7975,0,4105.33465,34.412,0.2,74.7422,6.5945,77,6
1,145.6,4184.4174,27.7975,0,4105.33465,34.412,0.2,4187.19715,27.798,-0.1,4108.77585,34.432,0.2,74.08275,6.6145,77,6
1,145.7,4187.19715,27.798,-0.1,4108.77585,34.432,0.2,4189.97695,27.788,0,4112.21905,34.452,0.3,73.4213,6.634,77,6
1,145.8,4189.97695,27.788,0,4112.21905,34.452,0.3,4192.75575,27.788,0,4115.66425,34.482,0.19,72.7579,6.664,77,6
1,145.9,4192.75575,27.788,0,4115.66425,34.482,0.19,4195.53455,27.7885,0,4119.11245,34.5015,0.2,72.0915,6.694,77,6
1,146,4195.53455,27.7885,0,4119.11245,34.5015,0.2,4198.3134,27.7885,0,4122.5626,34.5215,0.2,71.4221,6.713,77,6
1,146.1,4198.3134,27.7885,0,4122.5626,34.5215,0.2,4201.09225,27.7885,0,4126.01475,34.5415,0.2,70.7508,6.733,77,6
1,146.2,4201.09225,27.7885,0,4126.01475,34.5415,0.2,4203.8711,27.7885,0,4129.4689,34.5615,0.2,70.0775,6.753,77,6
1,146.3,4203.8711,27.7885,0,4129.4689,34.5615,0.2,4206.64995,27.7885,-0.1,4132.92505,34.5815,0.19,69.4022,6.773,77,6
1,146.4,4206.64995,27.7885,-0.1,4132.92505,34.5815,0.19,4209.4288,27.7785,0,4136.3832,34.601,0.2,68.7249,6.793,77,6
1,146.5,4209.4288,27.7785,0,4136.3832,34.601,0.2,4212.20665,27.7785,-0.1,4139.8433,34.621,0.19,68.0456,6.8225,77,6
